更新时间,#genre#
20250114-06-27-34,url


speed,RespoTime,whitelist,#genre#
13701.2KB/S,275.94ms,CGTN法语,https://0472.org/hls/cgtnf.m3u8
8268.1KB/S,280.01ms,CGTN俄语,https://0472.org/hls/cgtne.m3u8
6680.6KB/S,292.92ms,CGTN记录,https://0472.org/hls/cgtnd.m3u8
1746.9KB/S,313.41ms,CGTN阿语,https://0472.org/hls/cgtna.m3u8
1157.3KB/S,276.84ms,CGTN西语,https://0472.org/hls/cgtnx.m3u8
1046.1KB/S,1250.21ms,浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
919.7KB/S,298.92ms,CGTN英语,https://0472.org/hls/cgtn.m3u8
892.2KB/S,1249.61ms,浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
872.6KB/S,1228.50ms,之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
838.4KB/S,1249.94ms,浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
834.6KB/S,1209.59ms,浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
819.1KB/S,1234.69ms,浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
642.4KB/S,1464.22ms,乌兰察布新闻,https://livestream-bt.nmtv.cn/nmtv/2354general.m3u8?txSecret=cf5f71d0000862b18f5813607b3dfd5b&txTime=771E8800
614.1KB/S,1591.56ms,鄂尔多斯新闻,https://livestream-bt.nmtv.cn/nmtv/2349general.m3u8?txSecret=e44477052aba305cadeea45aaf1c674a&txTime=771E8800
273.4KB/S,1232.99ms,浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
272.0KB/S,1201.77ms,浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
