更新时间,#genre#
20250114-06-20-22,url


speed,RespoTime,whitelist,#genre#
15228.1KB/S,273.84ms,CGTN法语,https://0472.org/hls/cgtnf.m3u8
10391.0KB/S,287.33ms,CGTN俄语,https://0472.org/hls/cgtne.m3u8
1968.2KB/S,283.36ms,CGTN阿语,https://0472.org/hls/cgtna.m3u8
1017.3KB/S,289.48ms,CGTN西语,https://0472.org/hls/cgtnx.m3u8
940.4KB/S,1040.09ms,浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
915.0KB/S,1100.77ms,浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
905.3KB/S,1085.02ms,浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
897.9KB/S,1077.50ms,浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
863.7KB/S,1097.09ms,浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
837.8KB/S,280.71ms,CGTN英语,https://0472.org/hls/cgtn.m3u8
835.4KB/S,285.75ms,CGTN记录,https://0472.org/hls/cgtnd.m3u8
810.5KB/S,1095.87ms,浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
690.3KB/S,3536.96ms,内蒙经济,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=112b2c4c872de52b0f37aff6ead63ef0&txTime=771E8800
281.5KB/S,1046.72ms,浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
274.4KB/S,1076.63ms,之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
